선수명,POS,
강승호,batter,
김기연,batter,
김대한,batter,
김동준,batter,
김민석,batter,
김민혁,batter,
김인태,batter,
김재환,batter,
김준상,batter,
김호준,batter,
류현준,batter,
박계범,batter,
박민준,batter,
박신지,batter,
박준순,batter,
박준영,batter,
박지훈,batter,
양석환,batter,
양의지,batter,
여동건,batter,
오명진,batter,
이선우,batter,
이유찬,batter,
임종성,batter,
장승현,batter,
전다민,batter,
정수빈,batter,
조수행,batter,
추재현,batter,
케이브,batter,
강성우,batter,
고승민,batter,
구승민,batter,
김동혁,batter,
김민성,batter,
김원중,batter,
나승엽,batter,
레이예스,batter,
박승욱,batter,
박재엽,batter,
박준우,batter,
박진,batter,
손성빈,batter,
손호영,batter,
유강남,batter,
윤동희,batter,
이인한,batter,
이태경,batter,
이호준,batter,
장두성,batter,
전민재,batter,
전준우,batter,
정보근,batter,
정철원,batter,
정현수,batter,
정훈,batter,
조세진,batter,
최항,batter,
한태양,batter,
황성빈,batter,
강민호,batter,
구자욱,batter,
김성윤,batter,
김영웅,batter,
김재성,batter,
김재혁,batter,
김지찬,batter,
김태근,batter,
김태훈,batter,
김헌곤,batter,
김호진,batter,
디아즈,batter,
류지혁,batter,
박병호,batter,
박승규,batter,
배찬승,batter,
심재훈,batter,
안주형,batter,
양도근,batter,
육선엽,batter,
윤정빈,batter,
이병헌,batter,
이성규,batter,
이재현,batter,
이재희,batter,
이창용,batter,
이호성,batter,
전병우,batter,
함수호,batter,
홍현빈,batter,
강진성,batter,
고영우,batter,
권혁빈,batter,
김건희,batter,
김동엽,batter,
김동헌,batter,
김웅빈,batter,
김재현,batter,
김태진,batter,
박수종,batter,
박주홍,batter,
변상권,batter,
송성문,batter,
송지후,batter,
어준서,batter,
여동욱,batter,
오선진,batter,
원성준,batter,
이용규,batter,
이원석,batter,
이재상,batter,
이주형,batter,
이형종,batter,
임병욱,batter,
임지열,batter,
장재영,batter,
전태현,batter,
최주환,batter,
카디네스,batter,
푸이그,batter,
권광민,batter,
김서현,batter,
김승일,batter,
김인환,batter,
김태연,batter,
노시환,batter,
문현빈,batter,
심우준,batter,
안치홍,batter,
유로결,batter,
이도윤,batter,
이민재,batter,
이상혁,batter,
이승현,batter,
이재원,batter,
이진영,batter,
임종찬,batter,
정우주,batter,
조동욱,batter,
채은성,batter,
최인호,batter,
최재훈,batter,
플로리얼,batter,
하주석,batter,
허인서,batter,
황영묵,batter,
김규성,batter,
김대유,batter,
김도영,batter,
김석환,batter,
김선빈,batter,
김태군,batter,
김호령,batter,
나성범,batter,
박민,batter,
박재현,batter,
박정우,batter,
박찬호,batter,
변우혁,batter,
서건창,batter,
오선우,batter,
위즈덤,batter,
윤도현,batter,
이우성,batter,
정해영,batter,
정해원,batter,
최원준,batter,
최정용,batter,
최형우,batter,
한승택,batter,
한준수,batter,
홍종표,batter,
황대인,batter,
황동하,batter,
강민성,batter,
강백호,batter,
강현우,batter,
권동진,batter,
김건형,batter,
김병준,batter,
김상수,batter,
로하스,batter,
문상철,batter,
박경수,batter,
박민석,batter,
박영현,batter,
배정대,batter,
송민섭,batter,
안치영,batter,
안현민,batter,
오윤석,batter,
유준규,batter,
윤준혁,batter,
이정현,batter,
이정훈,batter,
장성우,batter,
장준원,batter,
장진혁,batter,
조대현,batter,
천성호,batter,
최성민,batter,
허경민,batter,
황재균,batter,
구본혁,batter,
김민수,batter,
김성우,batter,
김영우,batter,
김주성,batter,
김진성,batter,
김현수,batter,
문보경,batter,
문성주,batter,
문정빈,batter,
박관우,batter,
박동원,batter,
박명근,batter,
박해민,batter,
손용준,batter,
송찬의,batter,
신민재,batter,
오스틴,batter,
오지환,batter,
우강훈,batter,
이영빈,batter,
이우찬,batter,
이주헌,batter,
이지강,batter,
장현식,batter,
최승민,batter,
최원영,batter,
함창건,batter,
홍창기,batter,
권희동,batter,
김범준,batter,
김성욱,batter,
김시훈,batter,
김정호,batter,
김주원,batter,
김한별,batter,
김형준,batter,
김휘집,batter,
데이비슨,batter,
도태훈,batter,
류진욱,batter,
박건우,batter,
박민우,batter,
박세혁,batter,
박시원,batter,
박영빈,batter,
박한결,batter,
배재환,batter,
서호철,batter,
손아섭,batter,
손주환,batter,
송승환,batter,
안중열,batter,
오영수,batter,
정현창,batter,
천재환,batter,
최정원,batter,
한석현,batter,
한재환,batter,
고명준,batter,
김건우,batter,
김성현,batter,
김수윤,batter,
김찬형,batter,
김창평,batter,
노경은,batter,
맥브룸,batter,
박성한,batter,
박지환,batter,
석정우,batter,
신범수,batter,
안상현,batter,
에레디아,batter,
오태곤,batter,
이로운,batter,
이율예,batter,
이지영,batter,
정준재,batter,
정현승,batter,
조병현,batter,
조형우,batter,
채현우,batter,
최상민,batter,
최정,batter,
최준우,batter,
최지훈,batter,
하재훈,batter,
한유섬,batter,
현원회,batter,
고효준,pitcher,
곽빈,pitcher,
김명신,pitcher,
김민규,pitcher,
김유성,pitcher,
김정우,pitcher,
김택연,pitcher,
박정수,pitcher,
박치국,pitcher,
양재훈,pitcher,
이영하,pitcher,
잭로그,pitcher,
최민석,pitcher,
최승용,pitcher,
최종인,pitcher,
최준호,pitcher,
최지강,pitcher,
콜어빈,pitcher,
홍민규,pitcher,
감보아,pitcher,
김강현,pitcher,
김진욱,pitcher,
나균안,pitcher,
박세웅,pitcher,
박세현,pitcher,
박시영,pitcher,
박진형,pitcher,
반즈,pitcher,
송재영,pitcher,
윤성빈,pitcher,
이민석,pitcher,
정우준,pitcher,
최준용,pitcher,
한현희,pitcher,
홍민기,pitcher,
김대호,pitcher,
김재윤,pitcher,
레예스,pitcher,
백정현,pitcher,
송은범,pitcher,
양창섭,pitcher,
오승환,pitcher,
원태인,pitcher,
이상민,pitcher,
이승민,pitcher,
임창민,pitcher,
정민성,pitcher,
최원태,pitcher,
황동재,pitcher,
후라도,pitcher,
김서준,pitcher,
김선기,pitcher,
김성민,pitcher,
김연주,pitcher,
김윤하,pitcher,
로젠버그,pitcher,
박윤성,pitcher,
박정훈,pitcher,
박주성,pitcher,
손현기,pitcher,
손힘찬,pitcher,
알칸타라,pitcher,
양지율,pitcher,
오석주,pitcher,
원종현,pitcher,
윤석원,pitcher,
윤현,pitcher,
이강준,pitcher,
이준우,pitcher,
임진묵,pitcher,
전준표,pitcher,
정현우,pitcher,
조영건,pitcher,
주승우,pitcher,
하영민,pitcher,
권민규,pitcher,
김범수,pitcher,
김종수,pitcher,
류현진,pitcher,
문동주,pitcher,
박상원,pitcher,
엄상백,pitcher,
와이스,pitcher,
원종혁,pitcher,
이상규,pitcher,
이태양,pitcher,
주현상,pitcher,
폰세,pitcher,
한승혁,pitcher,
황준서,pitcher,
곽도규,pitcher,
김건국,pitcher,
김기훈,pitcher,
김도현,pitcher,
김민재,pitcher,
네일,pitcher,
성영탁,pitcher,
양현종,pitcher,
올러,pitcher,
유승철,pitcher,
윤영철,pitcher,
윤중현,pitcher,
이준영,pitcher,
이형범,pitcher,
임기영,pitcher,
장재혁,pitcher,
전상현,pitcher,
조상우,pitcher,
최지민,pitcher,
홍원빈,pitcher,
강건,pitcher,
고영표,pitcher,
김재원,pitcher,
문용익,pitcher,
소형준,pitcher,
손동현,pitcher,
오원석,pitcher,
우규민,pitcher,
원상현,pitcher,
이상동,pitcher,
이채호,pitcher,
전용주,pitcher,
조이현,pitcher,
주권,pitcher,
최동환,pitcher,
최용준,pitcher,
쿠에바스,pitcher,
헤이수스,pitcher,
김강률,pitcher,
김유영,pitcher,
김종운,pitcher,
김주온,pitcher,
배재준,pitcher,
백승현,pitcher,
성동현,pitcher,
손주영,pitcher,
송승기,pitcher,
에르난데스,pitcher,
유영찬,pitcher,
임찬규,pitcher,
최채흥,pitcher,
치리노스,pitcher,
코엔 윈,pitcher,
김녹원,pitcher,
김재열,pitcher,
김진호,pitcher,
김태경,pitcher,
김태현,pitcher,
라일리,pitcher,
로건,pitcher,
목지훈,pitcher,
신민혁,pitcher,
신영우,pitcher,
이용찬,pitcher,
이준혁,pitcher,
임상현,pitcher,
임정호,pitcher,
전사민,pitcher,
최성영,pitcher,
최우석,pitcher,
한재승,pitcher,
김광현,pitcher,
김민,pitcher,
문승원,pitcher,
박기호,pitcher,
박시후,pitcher,
박종훈,pitcher,
서진용,pitcher,
송영진,pitcher,
앤더슨,pitcher,
전영준,pitcher,
정동윤,pitcher,
최민준,pitcher,
최현석,pitcher,
한두솔,pitcher,
화이트,pitcher,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
